Image Id.	Gene Description	EWS-T1	EWS-T2	EWS-T3	EWS-T4	EWS-T6	EWS-T7	EWS-T9	EWS-T11	EWS-T12	EWS-T13	EWS-T14	EWS-T15	EWS-T19	EWS-C8	EWS-C3	EWS-C2	EWS-C4	EWS-C6	EWS-C9	EWS-C7	EWS-C1	EWS-C11	EWS-C10	BL-C5	BL-C6	BL-C7	BL-C8	BL-C1	BL-C2	BL-C3	BL-C4	NB-C1	NB-C2	NB-C3	NB-C6	NB-C12	NB-C7	NB-C4	NB-C5	NB-C10	NB-C11	NB-C9	NB-C8	RMS-C4	RMS-C3	RMS-C9	RMS-C2	RMS-C5	RMS-C6	RMS-C7	RMS-C8	RMS-C10	RMS-C11	RMS-T1	RMS-T4	RMS-T2	RMS-T6	RMS-T7	RMS-T8	RMS-T5	RMS-T3	RMS-T10	RMS-T11	TEST-9	TEST-11	TEST-5	TEST-8	TEST-10	TEST-13	TEST-3	TEST-1	TEST-2	TEST-4	TEST-7	TEST-12	TEST-24	TEST-6	TEST-21	TEST-20	TEST-17	TEST-18	TEST-22	TEST-16	TEST-23	TEST-14	TEST-25	TEST-15	TEST-19
44975	isopentenyl-diphosphate delta isomerase	0.2502	0.1603	0.2872	0.4772	0.7311	0.8976	0.5496	0.5101	0.7201	0.514	0.4777	0.295	0.6186	0.6969	0.4613	0.6888	0.5902	0.3238	0.2938	0.8374	0.2123	0.3607	0.218	1.6674	3.2721	2.2737	2.2037	0.3625	0.5707	0.9083	1.8827	0.8609	0.5323	0.5981	0.7769	1.6135	1.0335	0.9421	1.0537	1.5844	0.7519	0.8123	0.7736	1.6966	0.6676	0.2238	0.7216	2.1373	1.6199	0.5848	0.6437	0.5804	0.6871	0.3523	0.1348	0.1832	0.2553	0.2833	0.5741	0.4315	0.1458	0.2905	0.2475	1.7761	0.5526	0.5946	0.9729	0.2379	2.0097	0.3254	1.417	0.0644	0.6904	0.1519	0.3544	0.2825	0.5162	0.5097	0.3579	0.7262	0.963	0.4423	0.8731	0.664	1.0167	0.83	1.5372	0.8766
160793	discs, large (Drosophila) homolog 1	0.4067	0.4921	0.9701	0.1354	0.6405	0.6292	0.6646	0.4934	0.3525	0.5513	1.3817	0.78	0.8124	0.2357	0.1932	0.1282	1.6399	0.2967	0.2768	0.4292	0.4467	0.1308	0.2234	1.2197	0.9111	0.4171	0.279	0.33	0.6533	0.3776	0.7459	0.9979	0.2464	0.2075	0.1624	0.1909	0.1436	0.3501	0.7588	0.4281	0.3061	0.1735	0.2103	0.8715	1.0363	0.2707	0.2542	0.3347	0.3439	0.273	0.8056	0.2451	1.2308	0.2899	0.6938	0.5454	0.9153	0.5419	1.2319	0.6577	0.534	0.8296	2.4891	1.5482	0.8628	0.548	0.4967	0.2652	0.5719	0.1463	0.3253	0.2743	0.7696	0.2456	1.2908	0.3442	0.53	0.5467	0.9349	0.6967	0.226	0.6376	0.6162	0.4374	0.8056	0.4936	0.6345	0.6277
358457	heterogeneous nuclear ribonucleoprotein H1 (H)	3.9436	1.6979	1.1502	4.8214	2.6551	2.2892	1.2079	1.0805	1.4332	1.1697	1.7982	2.6591	1.7206	1.8636	3.3157	2.7458	1.9961	1.444	1.4199	2.3635	1.8091	1.4877	1.9997	3.7692	1.9572	4.9226	3.244	3.7331	2.0955	1.8061	4.1314	3.2035	3.0084	3.7643	3.0607	3.4309	2.3823	3.4099	4.6	2.4594	2.8665	4.6039	2.7619	1.7739	1.4537	0.7915	1.5605	4.1264	2.9746	3.1136	3.5575	3.4554	2.6736	5.3639	2.1234	2.0369	1.8043	0.2287	1.085	2.3442	0.9308	1.0345	0.4122	1.208	0.7932	3.2002	2.7948	1.6368	0.9841	1.1683	2.0555	0.267	3.7942	0.5981	1.535	1.8697	4.9739	1.16	0.6893	2.6849	1.1622	0.8935	1.3399	0.8511	0.8408	3.0222	0.4128	0.3937
592359	Ke4 gene, mouse, human homolog of	0.4011	1.0625	0.5114	1.004	1.0479	0.768	0.7206	0.4683	0.4984	0.5717	0.6328	0.7268	0.5521	0.4121	1.3154	0.9606	1.6749	0.4055	0.3987	0.9148	0.5387	0.6348	0.3502	0.8895	0.732	1.0218	0.5871	0.3666	0.424	0.6007	0.8429	0.7773	0.584	0.3692	0.3112	0.3788	0.2877	0.5474	0.6766	0.5871	0.5293	0.241	0.5862	0.1028	1.2859	0.5887	0.3171	0.7978	0.5173	0.6431	1.5351	0.325	1.0595	0.672	0.8442	1.5501	0.107	0.1069	0.7563	0.5439	0.9385	0.8659	0.2613	0.4783	0.4988	1.2984	0.5858	1.0604	0.6543	0.6426	0.6413	0.1132	0.638	0.0934	0.1477	1.166	0.5138	0.567	0.5738	0.577	0.7054	1.0065	1.2123	0.9786	0.8091	1.0225	1.3133	0.7437
811920	interleukin 11 receptor, alpha	0.6073	1.6609	4.1881	0.8708	2.0349	2.634	4.013	1.2634	0.4739	1.5092	0.6391	1.81	0.7339	1.5707	0.115	0.1453	1.3551	0.622	0.5645	0.3483	0.4488	0.4989	0.6471	0.299	0.1665	0.2189	0.1602	0.1163	0.3577	0.3259	0.2325	0.5079	0.1888	0.6697	0.3407	1.4342	0.2105	0.677	0.7434	0.9051	0.2868	0.3252	0.4328	0.351	0.3686	0.1978	0.3785	0.3492	0.3138	0.1864	0.2964	0.0824	1.0664	0.2752	1.5277	1.6756	0.8286	0.5537	1.6785	0.3546	0.8847	1.0361	0.3084	0.3955	0.2331	0.3529	0.7194	0.7093	0.6753	0.358	0.7889	0.2124	0.6937	0.1259	2.2506	0.5233	1.0262	1.4966	0.5456	0.6524	0.1512	0.7648	0.5236	0.7385	1.2528	0.3448	0.3904	0.7345
45542	Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA	3.1622	0.9711	3.6953	2.8902	1.4708	2.0261	2.347	7.202	0.8278	8.8139	1.2832	2.7328	0.852	1.5707	0.2204	0.1408	2.5128	0.2234	0.2067	0.4645	0.2051	0.1487	0.3999	0.2491	0.2262	0.1025	0.1185	0.1037	0.172	0.096	0.1312	0.9309	0.1133	0.2023	0.4015	1.0905	0.4652	1.4112	0.5906	1.1114	1.0894	0.7433	0.3453	0.066	0.4144	0.2585	1.0074	1.3788	0.188	0.1609	3.451	0.2472	4.3032	2.2138	7.019	2.4781	12.7909	4.6441	8.4026	1.3906	5.5988	10.2403	6.6551	3.2898	0.2104	0.1223	1.5094	6.3938	17.5478	0.1599	0.3953	0.2664	2.74	0.0785	1.4612	9.4968	0.9844	8.7405	8.7537	4.0824	0.1259	5.8471	1.6952	8.0128	2.0151	1.9648	0.1662	2.0752
810282	inositol 1,3,4-triphosphate 5/6 kinase	0.7132	0.9261	0.561	0.4216	1.2257	0.5048	0.5571	0.7064	0.8833	1.2433	0.8038	0.8823	0.3395	0.9197	0.5069	0.8764	0.368	1.0879	1.0201	0.6048	0.1883	0.4947	0.8249	0.2003	0.5029	0.5988	0.4611	0.2718	1.0908	0.5151	0.3554	0.8279	0.4877	0.393	0.2417	0.4501	0.1804	0.3833	1.0794	0.8097	0.5751	0.7264	0.5334	0.1661	1.0606	0.9076	0.1825	0.9272	0.445	1.8442	0.2755	1.6878	0.5032	0.9189	0.5561	0.5957	0.0694	0.758	0.5428	0.9167	0.3674	0.4642	0.2672	0.5476	0.6891	0.7043	0.5142	0.7308	0.6785	2.6739	1.4414	0.2674	0.8355	0.5286	0.2826	0.5629	0.6147	1.2329	1.4093	2.1321	0.885	0.2884	1.0411	1.5396	0.8055	1.3551	0.7218	1.1202
136744	speckle-type POZ protein	0.8344	1.33	0.7543	0.4432	1.4636	1.3623	0.7091	1.4744	1.835	2.0706	2.6	1.5229	1.7359	0.8705	0.5833	0.4398	2.3565	0.8183	0.7845	0.9438	1.0769	0.3251	0.6884	1.8473	1.0604	1.1274	1.3137	0.6087	1.0385	0.8002	0.8375	1.4242	0.6977	0.4583	0.8496	1.4416	0.8637	0.9644	1.6775	0.7166	1.1071	1.066	1.2955	0.9813	1.5183	0.5429	0.6894	1.5416	1.3159	1.1818	0.8428	0.8551	1.7667	0.5206	1.7819	1.008	1.0903	1.4252	1.2785	1.4098	1.0467	1.2197	1.4421	1.2035	1.6577	0.8265	2.0258	0.8402	1.854	0.4019	1.2644	0.5404	0.8136	1.0316	1.5285	0.6929	1.4664	2.0534	1.0992	0.8658	0.2595	0.1645	2.5558	1.9631	3.1452	2.0155	0.9781	1.2199
768562	zinc finger protein homologous to Zfp103 in mouse	0.2247	0.0793	0.1234	1.1591	1.5882	1.9868	0.7065	0.6111	0.9259	0.6732	1.179	0.6946	0.6407	0.1522	0.1553	0.2169	0.2541	0.2014	0.1823	0.2149	0.1002	0.1638	0.0907	0.547	0.3701	1.2187	0.5704	0.1111	0.115	0.1993	0.3887	0.2066	0.1829	0.234	0.3976	0.1629	0.3602	0.5219	0.2509	0.5445	0.3305	0.3942	0.2273	0.6906	0.7128	0.172	0.342	0.2327	0.631	0.4087	0.4131	0.4464	0.7992	0.3792	0.0936	0.1137	1.1251	0.9088	0.6202	0.4805	0.2213	0.4944	0.3734	0.6088	0.157	0.5376	0.2657	0.4607	0.166	0.0724	0.2069	0.1362	0.3749	0.1397	0.501	0.233	0.8467	0.6676	0.6102	0.5796	0.1288	1.0486	0.398	0.2294	0.2121	0.4452	0.0696	0.1445
234191	Human guanine nucleotide exchange factor mRNA, complete cds	0.3731	0.3118	0.3463	0.2669	0.639	0.7468	0.5908	0.2487	0.2289	0.4723	0.4171	0.5731	0.43	0.1958	0.2012	0.3052	0.5165	1.0073	0.8803	0.6116	0.1141	0.189	0.1011	0.7708	0.4583	0.4528	0.3289	0.2442	0.2382	0.2045	0.6916	0.5292	0.1681	0.1885	0.2719	0.197	0.2062	0.7469	0.3611	0.3203	0.2407	0.2587	0.1723	0.4406	0.4785	0.1944	0.1405	0.4424	0.3568	0.1929	0.5811	0.1364	0.5277	0.2914	0.2369	0.3417	0.6873	0.4751	0.5457	0.4675	0.2643	0.2105	0.4846	0.3962	0.3509	0.5161	0.1701	0.1067	0.2525	0.3943	0.1377	0.1431	0.1959	0.1726	0.2308	0.3417	0.3583	0.4683	0.3801	0.3974	0.1181	0.3895	0.537	0.4185	0.653	0.4876	0.8643	0.2996
261204	ESTs, Highly similar to HIGH MOBILITY GROUP PROTEIN HMGI-C [H.sapiens]	0.3242	0.1812	0.1975	0.3161	0.8535	0.6119	0.4868	0.336	0.2563	1.0227	0.8073	0.9866	0.3389	0.4552	0.3175	0.2727	0.4024	0.8373	0.7797	0.4575	0.2074	0.5319	0.192	0.6712	0.7427	0.9584	0.5234	0.1643	0.2719	0.396	0.4073	0.3836	0.4084	0.3752	0.3438	0.4912	0.2406	0.6456	0.6729	0.528	0.7419	0.274	0.6708	0.5949	0.5373	0.4348	0.3534	0.505	1.2081	0.2976	0.3326	0.3501	0.5774	0.2248	0.1719	0.372	0.5007	0.5	0.3951	0.3832	0.2478	0.2341	0.1188	0.41	0.9856	0.493	0.3529	0.408	0.608	0.3278	0.1027	0.0735	0.1327	0.1193	0.2032	0.35	0.3443	1.0142	0.4213	0.25	0.1379	0.3895	0.4085	0.3521	0.2525	0.3864	0.3774	0.4074
810063	Human hERV1 mRNA, complete cds	0.3392	0.5016	0.5193	0.1825	0.4151	0.5132	0.8172	0.3785	0.2626	0.5354	0.8947	0.5127	0.4142	0.4271	0.2253	0.1714	1.1751	0.5552	0.514	0.24	0.4406	0.486	0.5518	0.5084	0.4032	0.3315	0.3158	0.3225	0.4751	0.5089	0.5369	0.8044	0.435	0.3036	0.2443	0.192	0.3487	0.5794	0.2752	0.4289	0.2874	0.212	0.253	1.0317	0.9734	0.2751	0.3907	0.3051	0.8009	0.265	0.6373	0.2144	0.7561	0.2837	0.622	0.9258	0.6981	0.4298	0.5363	0.4627	0.6152	0.3894	0.367	0.7364	0.5716	0.3664	0.3753	0.4144	0.3475	0.8401	0.5186	0.8503	0.8789	0.5301	0.2501	0.5168	0.3206	0.5309	0.6297	0.9585	0.4422	0.6039	0.3655	0.4497	0.5606	0.3746	0.3961	0.3943
248531	GUANINE-MONOPHOSPHATE SYNTHETASE	0.8485	0.5763	0.2885	1.0447	1.3144	1.0562	1.3688	1.0611	0.8024	0.4421	1.3761	1.7097	0.9317	0.9637	1.1779	1.1025	1.1248	1.3975	1.3224	0.9073	0.9242	0.9967	1.442	0.7636	1.7537	1.9662	2.3024	0.493	0.3797	0.9192	1.4159	1.3084	1.408	1.1563	0.968	0.6673	0.7127	0.8298	1.627	0.7078	0.6555	0.9537	1.2463	0.3518	1.8116	0.8772	0.3866	1.3672	0.9126	1.866	1.3395	1.6087	1.0245	0.5863	0.2263	0.3607	0.5966	0.284	0.9118	0.8778	0.6668	0.1637	0.2875	0.3652	1.2549	1.2501	0.3728	0.1901	0.0834	1.0494	0.1592	0.1986	0.1612	0.1143	0.2875	0.5355	0.8304	0.4384	0.6779	0.2099	0.3028	0.1549	0.1987	0.0783	0.1026	0.1052	0.1229	0.1498
360168	RAB interacting factor	0.2797	0.512	0.3217	0.1124	0.4534	0.5815	0.2844	0.2117	0.4043	0.586	0.6172	0.4588	0.4935	0.7345	0.1528	0.2719	1.0327	0.3954	0.3632	0.5	0.6438	0.556	0.663	0.4894	0.4956	0.5728	0.3675	0.2902	0.2135	0.2664	0.2957	0.3662	0.2688	0.3098	0.6308	0.4549	0.2973	0.6344	0.6773	0.4217	0.5678	0.4791	0.3439	0.471	0.8803	0.6371	0.4935	0.3888	0.4816	0.9148	0.1926	0.8299	0.5999	0.1368	0.2714	0.2166	0.2923	0.3406	0.2786	0.4529	0.4111	0.2869	0.3372	0.3691	0.5117	0.4398	0.4319	0.3166	0.2084	0.1532	0.1506	0.1247	0.1325	0.1684	0.3577	0.3096	0.2405	0.5812	0.334	0.2047	0.1736	0.1898	0.481	0.3339	0.4983	0.6044	0.3065	0.2615
753285	glycogenin	0.1169	0.1261	0.1024	0.2753	0.467	0.4141	0.4237	0.3494	0.3402	0.4498	0.2447	0.2069	0.2629	0.2519	0.2503	0.57	0.5417	0.3779	0.3335	0.139	0.4421	0.3044	0.3781	0.4099	0.4895	0.0654	0.2754	0.3777	0.2288	0.426	0.532	0.1645	0.4755	0.3998	0.7508	0.3218	0.6749	0.4424	0.1953	0.3566	0.3754	0.466	0.3309	0.6745	0.7208	0.442	1.0816	0.3965	0.5926	0.2805	0.3509	0.4194	0.6461	0.3242	0.2039	0.2393	1.3881	2.153	0.4529	0.5553	0.2172	0.3804	0.2407	3.0779	0.4603	0.9793	0.3431	0.5995	2.0131	0.4374	0.1423	0.0612	0.1003	0.172	0.2208	0.2883	0.2625	0.4461	0.5006	0.3163	0.3268	0.2939	0.197	0.134	0.2778	0.1652	0.0905	0.2458
301122	extracellular matrix protein 1	0.2523	0.5564	1.0039	0.32	1.3502	0.6859	0.3744	0.4686	0.4256	2.183	0.5138	0.4151	1.0712	0.1085	0.4755	0.087	0.5598	0.315	0.3092	0.1451	0.1024	0.3872	0.5971	0.2433	0.1925	0.0869	0.154	0.1435	0.1513	0.1071	0.0899	0.0999	1.0389	0.2378	0.5047	0.1593	1.642	0.1928	0.2011	0.1117	0.3242	0.2596	0.0924	0.2026	1.9612	2.0744	3.0723	0.2929	0.2905	0.406	0.8254	1.0375	0.9354	0.2891	0.5014	0.6773	0.5526	0.9955	0.9604	5.0541	0.5032	0.3037	0.1583	0.5277	0.3257	0.1105	0.0991	0.5827	0.1836	1.1307	0.318	0.0964	0.2111	0.0729	0.1801	0.3929	0.4838	2.1648	1.0848	0.2636	0.1294	0.301	0.4105	0.4568	0.1875	0.677	0.2227	0.8262
769676	glutathione S-transferase Zeta 1 (maleylacetoacetate isomerase)	0.406	0.7135	0.9268	0.4788	0.2866	0.6111	0.8176	0.7477	0.6766	0.2416	0.3889	0.5901	0.5054	0.3801	0.6687	0.5732	0.7398	0.934	0.8948	0.3053	0.9066	0.2476	0.2006	0.2423	0.4981	0.6599	0.8765	0.3802	0.676	1.0714	0.391	0.7804	0.52	0.3718	0.1573	0.0998	0.2357	0.3422	0.3928	0.1611	0.3809	0.3274	0.4374	0.345	0.5635	0.4787	0.1898	0.2677	0.5653	0.2319	0.6481	0.238	0.4561	0.4143	0.4087	1.2508	0.0344	0.192	0.2734	0.3536	0.6314	0.1636	0.4238	0.3006	0.6061	0.5324	0.214	0.3216	0.3238	0.326	0.5493	0.272	0.1868	0.359	0.56	0.4159	0.6838	0.2396	0.5469	0.3473	0.2867	0.3383	0.2383	0.149	0.0064	0.124	0.3675	0.2788
		0.6502	0.3573	0.3636	0.322	1.3174	0.8214	0.5009	0.5736	0.412	0.7748	0.3968	0.9369	0.5608	0.8206	0.7621	0.6464	0.8851	1.088	0.946	0.6142	0.5298	0.554	0.387	0.7688	0.7264	0.6986	0.5607	0.2531	0.3358	0.6362	0.5014	0.5096	0.6256	0.4568	0.546	0.3325	0.6859	0.6709	0.5959	0.6865	0.5076	0.4237	0.6452	0.7658	0.9781	1.102	0.9694	0.7805	0.8768	0.6957	0.8623	0.8956	0.9581	0.5079	0.3367	0.6865	0.9921	0.6327	0.4461	0.3302	0.5018	0.538	0.0853	0.4214	0.6292	0.79	0.5023	0.5424	0.5409	1.0671	0.0409	0.0366	0.1014	0.0427	0.1109	0.3931	0.2636	0.7683	0.9414	0.4168	0.3024	0.5108	0.4221	0.4477	0.4958	0.442	0.3302	0.3019
194364	Homo sapiens g16 protein (g16) mRNA, complete cds	1.0169	0.9966	0.9565	0.5043	1.6306	1.3683	0.8374	2.1555	1.7014	1.1859	0.9786	1.0115	1.1827	0.4043	0.1893	0.1396	1.0537	0.4967	0.449	0.3401	0.374	0.904	0.2376	1.022	0.6792	1.1099	0.7288	0.5987	0.4263	0.519	0.3606	0.4483	0.3884	0.3905	0.9449	0.4708	0.4036	0.9494	0.4239	0.683	0.5568	0.8454	0.6114	0.885	0.6002	0.3728	0.5638	0.8105	0.7819	0.3775	0.4087	0.4907	0.9348	0.6685	0.5918	1.1092	3.4417	1.0095	1.6347	0.9609	1.5537	0.8219	0.2797	0.5393	0.8785	0.7871	0.6091	0.5058	0.6914	0.3196	0.0497	0.0375	0.1003	0.0765	0.176	0.4526	1.0284	1.176	0.887	0.3814	0.3256	1.2588	1.0962	1.2319	1.4036	0.3582	0.5175	1.3058
289551	fragile X mental retardation, autosomal homolog 1	1.6983	1.0694	0.9202	0.1294	0.9197	1.1618	1.5106	0.6016	0.4847	0.2246	1.0983	0.6843	0.792	0.3007	1.4336	0.8483	0.9105	0.9656	0.8969	0.6792	0.6889	0.3875	0.2111	0.8299	2.0161	0.6736	0.6772	0.6241	1.0007	1.3	1.6989	0.8733	0.4536	0.3078	0.2998	0.4488	0.3587	0.9128	1.0603	0.4382	0.3234	0.1959	0.522	0.8519	1.1514	0.3464	0.3725	0.7716	0.3583	0.8251	0.725	0.141	1.0192	1.8347	1.1049	1.4986	1.0751	0.5571	1.032	0.5757	0.9118	1.2587	1.2833	1.406	1.4824	1.0803	0.8193	0.4011	3.6291	0.3885	0.698	0.3616	1.1996	0.2397	0.7069	0.4723	0.1995	0.2228	0.622	0.7575	0.5538	1.4671	0.7215	1.1883	0.7333	1.6767	0.7233	0.544
810934	Human elastin gene, partial cds and partial 3'UTR	0.1555	0.1261	0.233	0.4804	0.3037	0.2384	0.8665	0.9708	0.3131	1.2222	2.0401	0.4273	0.6827	0.8392	0.0781	0.1259	0.3663	0.8067	0.7794	0.6721	0.0881	0.5783	0.4999	0.1408	0.1351	0.2587	0.4424	0.1428	0.0816	0.2804	0.1454	0.2059	0.1795	0.3168	0.6629	0.5267	0.1425	0.1837	0.5981	0.085	0.4757	0.6724	0.1578	0.2384	0.6391	1.1312	0.4488	0.4925	0.4444	2.7707	0.184	0.777	0.2236	0.0956	0.2497	0.0763	0.3087	0.9773	0.4277	0.937	0.9081	0.4525	0.3693	0.4066	0.1122	0.2525	0.0664	2.8707	0.1649	0.0806	0.4262	1.026	0.14	0.0503	0.2898	0.487	0.5373	1.212	0.6256	0.2145	0.0631	0.5831	0.0742	0.1612	0.1559	0.0999	0.0679	0.0979
755975	dystroglycan 1 (dystrophin-associated glycoprotein 1)	0.1301	0.0948	0.0921	0.1131	0.9693	0.6354	0.5904	0.6044	0.7855	0.9256	0.5072	0.3436	0.2856	0.9847	0.1915	0.1202	0.2047	0.4442	0.4309	0.5479	0.0641	1.1977	0.5587	0.3137	0.2967	0.1847	0.1532	0.0769	0.1054	0.1318	0.1092	0.1179	0.1401	0.1672	0.4129	0.4062	0.4381	0.8466	0.2513	1.3311	0.6319	0.3559	0.1853	1.6125	1.6033	1.8659	0.9853	1.0648	1.5958	0.8539	0.3576	0.6746	0.4866	0.4193	0.1387	0.4541	0.3448	1.2107	1.2008	0.6837	0.1918	0.5949	0.8988	1.4182	0.7655	0.2608	0.811	0.6838	2.8574	0.5114	0.8819	1.5502	2.0516	0.9575	1.1969	0.2912	0.3429	0.9179	0.7722	2.2739	0.3211	5.0399	0.5731	0.7006	0.5394	0.8884	0.5527	0.9737
769921	ubiquitin carrier protein E2-C	1.5998	1.939	0.4347	0.3904	0.2578	0.7895	2.5454	1.0365	1.057	0.2365	0.8293	0.9023	1.2572	5.1042	1.6717	1.2178	0.7018	2.611	2.7893	3.563	1.4309	1.9065	3.9607	3.2712	2.5904	3.6553	3.4298	2.7445	2.0813	2.178	1.2353	2.0206	2.0733	1.7481	3.2975	5.1528	2.288	1.7162	3.7329	2.5728	2.6484	3.4078	3.1084	4.9304	4.2557	5.5387	3.8707	4.8825	3.7342	4.8879	1.6112	7.6582	0.4169	1.1994	1.0658	0.9655	4.0685	0.2237	0.9929	3.5871	1.053	2.8647	1.7669	0.2088	1.6261	0.3805	3.588	0.7338	0.1903	4.125	1.4898	2.0174	2.0155	3.5236	1.073	1.6507	1.1527	0.2345	0.2453	1.1162	3.8923	0.9134	0.5593	0.4962	0.9785	0.2273	2.0032	0.4145
345858	cisplatin resistance associated	0.085	0.0777	0.128	0.2036	0.9016	0.699	0.3833	0.406	0.2941	0.483	0.4041	0.7008	0.3277	0.281	0.058	0.072	0.5555	0.3393	0.3311	0.7088	0.0571	0.2578	0.2088	0.7177	0.3776	0.2908	0.2157	0.0878	0.0736	0.0792	0.1389	0.155	0.2845	0.2317	0.2844	0.3684	0.3303	0.2333	0.555	0.2762	0.4279	0.2123	0.3274	0.3032	0.4972	0.794	0.2685	0.5189	0.3692	0.3192	0.154	0.3087	0.2106	0.0675	0.2122	0.0701	0.5722	0.499	0.5342	0.3938	0.1679	0.4787	0.3587	0.321	0.2514	0.3837	0.1854	0.7224	0.2438	0.4977	0.0722	0.1294	0.1375	0.0897	0.3964	0.2096	0.9845	0.4789	0.3747	0.2366	0.1173	0.2312	0.2736	0.269	0.2658	0.2121	0.1894	0.3973
510702	intestinal carboxylesterase; liver carboxylesterase-2	0.2121	0.1576	0.2631	0.1953	0.4937	0.416	0.8256	0.5196	0.5301	0.3574	0.4663	0.4803	0.3332	0.8431	0.3891	0.3555	0.4078	1.025	0.9583	0.4949	0.2898	0.769	0.9814	0.3764	0.7169	0.9783	0.7605	0.1533	0.3548	0.2928	0.3881	0.4466	0.3338	0.302	0.3975	0.6855	0.552	0.7196	0.703	0.6149	0.3996	0.5226	0.5713	0.4562	0.5655	0.5215	0.2694	0.5719	0.5634	0.9046	0.3853	0.6861	0.1413	0.2457	0.2067	0.3198	0.1211	0.3373	0.1974	0.4719	0.2597	0.4205	0.3244	0.3222	0.3184	0.1762	0.5313	1.0437	0.4037	1.2187	0.6987	0.2797	0.5673	0.5795	0.6367	0.4056	0.3457	0.3545	0.2878	0.5315	0.7363	0.3512	1.2781	0.767	0.621	0.6043	0.6507	0.5843
130153	suppressor of Ty (S.cerevisiae) 5 homolog	0.7491	0.707	0.8309	0.4581	1.0738	1.0246	0.5733	0.4676	0.5142	0.5254	0.7943	0.6694	0.7374	1.156	0.3321	0.3012	1.1196	1.2878	1.2139	1.1722	0.3187	0.4358	0.8076	1.5659	0.8883	0.9496	0.7297	0.5251	0.4249	0.5069	0.7692	0.8903	0.5436	0.5787	0.6621	0.739	0.6154	0.7901	1.3364	0.7183	0.7696	0.4633	0.5642	0.6971	1.1777	0.8367	0.9661	1.3027	0.8362	0.8696	0.9378	0.3963	1.0525	0.3662	0.6599	0.4278	1.1427	0.8455	0.67	0.5902	0.9037	1.5225	3.1361	0.5777	0.4639	0.8534	1.5533	1.9276	1.0815	0.6354	0.4397	0.8077	1.1578	2.1293	2.2021	0.5105	0.6131	0.521	0.6629	1.5282	0.5044	0.467	1.8512	1.7541	2.094	1.2196	1.6682	1.6587
265680	coxsackie virus and adenovirus receptor	0.1516	0.2042	0.1054	0.1686	0.1441	0.2671	0.4373	0.189	0.1595	0.097	0.1151	0.1822	0.2205	0.5459	0.3475	0.419	0.3503	0.9991	0.7391	0.7643	0.1714	0.2518	0.3817	0.388	0.3238	0.4977	0.4667	0.1321	0.1576	0.1683	0.3179	0.3772	0.3771	0.3604	0.2687	0.3827	0.3399	0.446	0.7547	0.3311	0.1691	0.1954	0.5273	0.3081	1.172	0.882	0.1596	0.8019	0.6868	0.6273	0.3886	0.2702	0.0487	0.255	0.1657	0.1929	0.2215	0.3044	0.1506	0.1751	0.1135	0.1671	0.0962	0.1133	0.14	0.2059	1.1284	0.211	0.0683	0.7173	1.044	0.0976	0.3849	0.0588	0.1564	0.3165	0.308	0.0962	0.3306	0.3677	0.4667	0.1514	0.8376	1.2899	1.3646	1.1133	0.3574	0.1899
110467	caveolin 2	0.2925	0.0639	0.0846	0.2331	0.9943	0.5726	0.3204	0.1813	0.1804	0.2134	0.1355	0.1835	0.4634	0.8283	0.6929	0.3598	0.959	0.601	0.6653	1.0363	0.6624	0.4637	0.3132	0.4698	0.3326	0.201	0.147	0.1218	0.0935	0.0886	0.1297	0.1673	0.3156	0.1797	0.3346	0.2472	0.2502	0.2585	0.2419	0.1067	0.3426	0.123	0.2705	0.2815	0.5472	0.4186	0.3798	0.496	0.424	0.1852	0.1738	0.3374	0.2784	0.1433	0.0213	0.1319	0.245	0.179	0.1188	0.248	0.0909	0.2429	0.391	0.1619	0.1884	0.1738	0.1813	0.346	0.7001	0.7184	0.0623	2.1443	0.1743	0.1088	3.2477	0.2317	0.0908	0.2116	0.1777	0.1884	0.0974	0.1909	0.251	0.3119	0.2209	0.1816	0.1979	2.0363
376516	cell division cycle 4-like	0.0762	0.1175	0.1116	0.2721	0.7147	0.4043	0.4346	0.2386	0.1987	0.2202	0.2423	0.3826	0.2125	0.2692	0.2263	0.2566	0.4231	0.2372	0.2232	0.1844	0.205	0.1434	0.1555	0.2402	0.2771	0.7786	0.6636	0.0905	0.1534	0.1105	0.3086	0.6452	0.4389	0.4944	0.7901	0.284	0.7391	2.8821	1.0639	0.7067	0.1863	0.36	1.1325	0.1868	0.3353	0.224	0.1411	0.3233	0.3145	0.1247	0.2513	0.1111	0.2535	0.1874	0.1186	0.162	0.1058	0.2133	0.258	0.2768	0.128	0.1161	0.1119	0.1996	0.1703	0.3415	0.3964	0.1992	0.0964	0.172	0.5577	0.0509	0.2139	0.0635	0.1523	0.2606	0.4102	0.2183	0.3361	0.3842	0.1345	0.3136	0.2991	0.2228	0.0952	0.1201	0.3201	0.3508
